asset_id,asset_name,travel_seconds,travel_time_str,stopped_seconds,stopped_time_str,proyecto,ec,fecha_procesamiento
281474987900844,DC02,79,0:01:19,99041,"1 day, 3:30:41",Mabe,EC-10,2026-02-20
281474987973981,1963,41269,11:27:49,20479,5:41:19,MeLi Dedicado SD,EC-05,2026-02-20
281474987975417,1965,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474987987891,1789,41294,11:28:14,31500,8:45:00,Pilgrims Tepo,EC-02,2026-02-20
281474987987892,1848,40217,11:10:17,44160,12:16:00,Sayer Sencillo,EC-04,2026-02-20
281474988823213,1997,41554,11:32:34,46704,12:58:24,MeLi Dedicado SD,EC-05,2026-02-20
281474989884203,1976,59837,16:37:17,0,0:00:00,MeLi Dedicado TD,EC-05,2026-02-20
281474989884265,1977,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474989885039,1978,22880,6:21:20,54607,15:10:07,MeLi Dedicado SD,EC-05,2026-02-20
281474989886528,1990,62396,17:19:56,11646,3:14:06,MeLi Asignado,EC-05,2026-02-20
281474989886549,1985,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474989888939,1986,19913,5:31:53,70185,19:29:45,MeLi Dedicado SD,EC-05,2026-02-20
281474989888951,1988,49063,13:37:43,37087,10:18:07,MeLi Asignado,EC-05,2026-02-20
281474989890270,1989,31486,8:44:46,35713,9:55:13,MeLi Dedicado SD,EC-05,2026-02-20
281474989890287,1980,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado SD,EC-05,2026-02-20
281474989891212,1981,2573,0:42:53,93462,"1 day, 1:57:42",MeLi Dedicado SD,EC-05,2026-02-20
281474989898971,1983,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado SD,EC-05,2026-02-20
281474989898987,1987,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado TD,EC-05,2026-02-20
281474989899018,1984,46093,12:48:13,30725,8:32:05,MeLi Dedicado SD,EC-05,2026-02-20
281474989899647,1982,27623,7:40:23,68057,18:54:17,MeLi Dedicado SD,EC-05,2026-02-20
281474989962512,1979,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado SD,EC-05,2026-02-20
281474990645289,1991,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado TD,EC-05,2026-02-20
281474990645485,1992,37830,10:30:30,30159,8:22:39,MeLi Dedicado SD,EC-05,2026-02-20
281474990645759,1993,36019,10:00:19,37186,10:19:46,MeLi Dedicado SD,EC-05,2026-02-20
281474990645903,1994,17750,4:55:50,67867,18:51:07,MeLi Dedicado SD,EC-05,2026-02-20
281474990646406,309,30239,8:23:59,52600,14:36:40,Sayer Thorton,EC-04,2026-02-20
281474990646408,308,30188,8:23:08,48382,13:26:22,Sayer Thorton,EC-04,2026-02-20
281474990795937,1995,79,0:01:19,99041,"1 day, 3:30:41",MeLi Dedicado SD,EC-05,2026-02-20
281474990796545,1996,53537,14:52:17,18401,5:06:41,MeLi Dedicado SD,EC-05,2026-02-20
281474990796961,1998,38498,10:41:38,38192,10:36:32,MeLi Asignado,EC-05,2026-02-20
281474990797170,1999,0,0:00:00,99120,"1 day, 3:32:00",Available EC-05,EC-05,2026-02-20
281474990867391,2001,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado TD,EC-05,2026-02-20
281474990867791,2002,3301,0:55:01,64377,17:52:57,MeLi Dedicado TD,EC-05,2026-02-20
281474990989957,2000,0,0:00:00,99120,"1 day, 3:32:00",Available EC-05,EC-05,2026-02-20
281474991657165,2004,0,0:00:00,99120,"1 day, 3:32:00",Available EC-05,EC-05,2026-02-20
281474991658420,2005,43062,11:57:42,37844,10:30:44,MeLi Asignado,EC-05,2026-02-20
281474991658655,2006,0,0:00:00,99120,"1 day, 3:32:00",Available EC-05,EC-05,2026-02-20
281474991659092,1825,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474991659582,2008,18340,5:05:40,59515,16:31:55,MeLi Dedicado TD,EC-05,2026-02-20
281474991660601,2009,0,0:00:00,99120,"1 day, 3:32:00",MeLi Dedicado TD,EC-05,2026-02-20
281474991660608,2010,56959,15:49:19,22549,6:15:49,MeLi Asignado,EC-05,2026-02-20
281474991660912,2011,0,0:00:00,99120,"1 day, 3:32:00",Available EC-05,EC-05,2026-02-20
281474991661359,2012,28902,8:01:42,42651,11:50:51,Sayer Sencillo,EC-04,2026-02-20
281474991791631,1783,63824,17:43:44,0,0:00:00,Liverpool Local,EC-01,2026-02-20
281474991791649,DISPONIBLE J8B,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474991791654,2035,0,0:00:00,99120,"1 day, 3:32:00",Liverpool Local,EC-01,2026-02-20
281474991791660,2037,2037,0:33:57,96820,"1 day, 2:53:40",Liverpool Local,EC-01,2026-02-20
281474991791668,2036,33562,9:19:22,47215,13:06:55,Liverpool Local,EC-01,2026-02-20
281474991791673,2047,40611,11:16:51,50397,13:59:57,Liverpool Local,EC-01,2026-02-20
281474991791684,1856,16307,4:31:47,74388,20:39:48,Pipas,EC-02,2026-02-20
281474991791688,2044,6832,1:53:52,80956,22:29:16,Walmart Sencillo ,EC-08,2026-02-20
281474991791694,2043,0,0:00:00,99120,"1 day, 3:32:00",Liverpool Local,EC-01,2026-02-20
281474991791705,2042,26813,7:26:53,30870,8:34:30,Liverpool Local,EC-01,2026-02-20
281474991791707,2041,6753,1:52:33,83628,23:13:48,Walmart Sencillo SC,EC-08,2026-02-20
281474991791714,2038,44924,12:28:44,12854,3:34:14,Liverpool Local,EC-01,2026-02-20
